"name","cancerRate","maleCancerRate","femaleCancerRate","pop2020"
"Australia",468,"579.9000",363,"25499.8840"
"New Zealand","438.1000",526,"358.3000","4822.2330"
"Ireland","373.7000","430.8000","322.9000","4937.7860"
"Hungary","368.1000","427.1000","330.6000","9660.3510"
"United States","352.2000","393.2000","321.2000","331002.6510"
"Belgium","345.8000","371.1000","329.9000","11589.6230"
"France","344.1000","405.6000","292.9000","65273.5110"
"Denmark","340.4000","360.4000","325.5000","5792.2020"
"Norway","337.8000","369.8000","311.3000","5421.2410"
"Netherlands","334.1000","355.1000","318.9000","17134.8720"
"Canada",334,"343.3000","329.7000","37742.1540"
"New Caledonia","324.2000","357.1000","297.3000","285.4980"
"South Korea","313.5000","332.1000","310.6000","51269.1850"
"Germany","313.1000","345.9000","289.4000","83783.9420"
"Switzerland",311,"343.6000",285,"8654.6220"
"Luxembourg","309.3000",335,"292.5000","625.9780"
"Serbia","307.9000","339.3000","284.8000","8737.3710"
"Slovenia","304.9000","367.6000","253.4000","2078.9380"
"Latvia","302.2000","375.7000","267.6000","1886.1980"
"Slovakia","297.5000","363.2000","251.9000","5459.6420"
"Czech Republic","296.7000","348.8000",259,"10708.9810"
"Sweden","294.7000","313.4000","279.8000","10099.2650"
"Italy","290.6000","318.8000","270.8000","60461.8260"
"Croatia","287.2000","338.7000","251.1000","4105.2670"
"Lithuania","285.8000","347.2000","249.7000","2722.2890"
"Estonia","283.3000","364.5000","237.6000","1326.5350"
"Greece","279.8000","331.9000","238.3000","10423.0540"
"Spain","272.3000","328.6000","227.1000","46754.7780"
"Finland","266.2000","281.7000","258.5000","5540.7200"
"Uruguay","263.4000","317.6000","225.8000","3473.7300"
"Belarus","260.7000","322.4000","229.4000","9449.3230"
"Portugal","259.5000","312.1000","218.4000","10196.7090"
"Iceland","257.8000",,"261.5000","341.2430"
"Puerto Rico","254.5000","280.1000","238.5000","2860.8530"
"Moldova","254.3000","310.5000","216.6000","4033.9630"
"Poland","253.8000","292.5000","229.2000","37846.6110"
"Martinique","250.8000","308.9000",,"375.2650"
"Cyprus","250.8000","277.2000","231.5000","1207.3590"
"Malta","249.4000","261.1000","245.5000","441.5430"
"Singapore","248.9000","280.2000","223.2000","5850.3420"
"Japan",248,"285.9000","220.5000","126476.4610"
"Austria","247.7000","273.5000","228.4000","9006.3980"
"Barbados","247.5000","287.6000","216.3000","287.3750"
"French Guiana",247,"296.6000",,"298.6820"
"Lebanon","242.8000",,"248.9000","6825.4450"
"Bulgaria","242.8000","289.2000","212.1000","6948.4450"
"French Polynesia","240.6000","272.2000",,"280.9080"
"Israel","233.6000",,"227.1000","8655.5350"